created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Oct 09 21:19:02 +0000 2023;1711491486167253148;"@kegblgnunfaedh Ngelunjak, tiktok shop dah ditutup masih aja minta tutup yg lain, sekalian aja semua toko tuup kecuali di tanah abang";0;0;0;0;in;1690750402155999232;1711305579959062757;bijionta50;https://twitter.com/bijionta50/status/1711491486167253148
Mon Oct 09 20:17:27 +0000 2023;1711475987844931912;"@ladyboy_oren Kayanya mrk tuh miss informasi gasih ? Bigger picture nya tiktok shop ditutup kan krn regulasinya yg blm bener + alogaritma dia yg diduga naikin produk2 tertentu aja. Bukan perkara online vs offline store 🙃🙃";0;1;0;0;in;1000383598388625408;1711473520411279838;smokinhotcigx;https://twitter.com/smokinhotcigx/status/1711475987844931912
Mon Oct 09 19:21:33 +0000 2023;1711461919494988243;"tiktokshop ditutup urgensiny karena perizinan social media yg menjadi social commerce tp yg di blow up media dan pejabat mlh tanah abang, ya bgini hasilnya wkwk";0;1;0;0;in;1247160990354927616;1711461919494988243;remon_rap;https://twitter.com/remon_rap/status/1711461919494988243
Mon Oct 09 18:48:38 +0000 2023;1711453633207033961;"@eonfeb bahas peran tiktok shop buat mengembangkan umkm, EH MALAH DITUTUP ANJENG TAIII 😭😭😭 *aku udh nulis outline papernya sblm tiktokshop ditutup jd aku ga expect jg 😀";0;1;0;0;in;1489029327773900801;1711449543865491821;fororonoa;https://twitter.com/fororonoa/status/1711453633207033961
Mon Oct 09 18:03:28 +0000 2023;1711442267477860366;"emang paling seru belanja di tanggal kembar, karna voucher2nya mayan gila!! bisalah ini cover tiktokshop yg kemarin ditutup🙈 Selain ini ada banyak lagi kayak voucher 20rb, 25rb, cashback 10rb, dll tp udah aku pake 💅 https://t.co/7lB7nqCSsv";1;1;0;0;in;1518898876358729728;1711441602537980412;spillthedeals;https://twitter.com/spillthedeals/status/1711442267477860366
Mon Oct 09 17:52:34 +0000 2023;1711439525350957085;"@allboutsuga @rahmdess27 @kegblgnunfaedh Insya allah bakal naik lagi kok. Kemarin kan pengiriman berkurang drastis karena TikTokShop baru banget ditutup. Sekarang orang udah mulai belanja lagi ke Shopee &amp  TokPed. Belum lagi sekarang lagi event 10.10 di semua marketplace. Pasti bakal membludak pesanannya.";0;2;0;13;in;852623071307378688;1711305579959062757;imnotsadasofnow;https://twitter.com/imnotsadasofnow/status/1711439525350957085
Mon Oct 09 17:09:16 +0000 2023;1711428628956012848;"Biasanya klo 10.10 gini di tiktokshop bisa kebeli liptint yg 100k dapet 2 skrg udh ditutup😭";0;0;0;0;in;1445413682117152771;1711428628956012848;tuutuu95;https://twitter.com/tuutuu95/status/1711428628956012848
Mon Oct 09 17:05:32 +0000 2023;1711427689503219810;"setelah 3 bulan lalu, akhirnya naik kereta ke depok lagi dan ngerasa tanah abang rame amat jam 2 siang. apa karena tiktokshop sudah ditutup?";0;0;0;2;in;2334742255;1711427689503219810;arrasyidham;https://twitter.com/arrasyidham/status/1711427689503219810
Mon Oct 09 17:02:07 +0000 2023;1711426828173533302;"lhah kan tiktok shop sudah ditutup, belum rame? ya udah berarti emang belum rame  lagian rejeki sudah diatur sama Allah bukan karena aplikasi belanja online";0;0;0;0;in;179469574;1711426828173533302;heyraaraa;https://twitter.com/heyraaraa/status/1711426828173533302
Mon Oct 09 16:48:08 +0000 2023;1711423312218423748;"Semenjak tiktok shop ditutup jadi banyak live NPC gitu dah anjrit ga seru banget 😭";0;0;0;0;in;1550768172751798272;1711423312218423748;sucker4mrgrey;https://twitter.com/sucker4mrgrey/status/1711423312218423748
Mon Oct 09 16:47:39 +0000 2023;1711423188524294275;"7 Potret Deretan Artis Tanah Air Menangis usai TikTok Shop Ditutup Pemerintah https://t.co/USum7RCvir";0;0;0;0;in;1551452903025840128;1711423188524294275;KeysyaAzahra7;https://twitter.com/KeysyaAzahra7/status/1711423188524294275
Mon Oct 09 16:28:45 +0000 2023;1711418432108007932;"Tiktok shop harus tetap ditutup, melakukan predatory pricing. Pabrik menjual langsung ke konsumen, tidak adanya skema ekonomi yang dulu sudah ada.  Pabrik - Distributor - Agen - Pembeli  Pemerintah juga harus membuka pabrik2 seperti china untuk menyeimbangi ekonomi";0;0;0;0;in;1869992131;1711418432108007932;daizykamra;https://twitter.com/daizykamra/status/1711418432108007932
Mon Oct 09 16:28:03 +0000 2023;1711418256370917809;"Dunia emang lagi banyak bercandanya. Di pikir² lagi gara gara tiktok shop ditutup semua jadi kena imbasnya. Dari pegawai online shop juga ekspedisi. Habis ini ga lama makin banyak penangguran. Kalo kayak gini yang salah siapa.";0;0;0;0;in;1614253648888094721;1711418256370917809;lesshaamine;https://twitter.com/lesshaamine/status/1711418256370917809
Mon Oct 09 16:24:25 +0000 2023;1711417340313956353;"@txtdrjkt Tiktok ditutup bukan krn biar tanah abang rame, tp krn perizinannya. Ada kemungkinan habis ini jg ada lg tiktokshop tp beda apk aja sama tiktoknya. Shopee sm lazada ga ada masalah sama ijinnya jd ga bisa di ttup sembarangan.";0;0;0;0;in;1084081338116784129;1711240834266567144;Putandinii;https://twitter.com/Putandinii/status/1711417340313956353
Mon Oct 09 16:21:40 +0000 2023;1711416649738490003;"@AREAJULID Dikasih hati minta jantung,,minta   tiktok shop di tutup lanjut minta olshop lain ditutup.. udah hukum alam yg menang itu yg bisa ngikutin perkembangan zaman,";0;0;0;0;in;1534384074336243712;1711244856209891393;Astrie252;https://twitter.com/Astrie252/status/1711416649738490003
Mon Oct 09 15:51:10 +0000 2023;1711408974900453755;"Pedagang ini pasti ga ngerti knapa tiktokshop ditutup. Dikira alasan utamanya karn mereka apa. Duh otak otaak Tiktok shop tuh ditutup karna basic awalnya sosial media aja, tp malah merambah ke ecommerce viralnya. Makanya regulasinya ambigu di tengah2, beda lah ama lajada sopi";0;0;0;0;in;1258927899115044865;1711408974900453755;akmautidur;https://twitter.com/akmautidur/status/1711408974900453755
Mon Oct 09 15:44:16 +0000 2023;1711407236663386621;"tak puas tiktok shop ditutup,pedagang tanah abg minta lazada dan shopee  di tutup #berita #viraltiktok #beritaviral #beritaterkini #beritatiktok #beritahariini #beritaterbaru #fypシ https://t.co/doCE1PeYBl";0;0;0;0;in;1669554554499907586;1711407236663386621;video_tv63848;https://twitter.com/video_tv63848/status/1711407236663386621
Mon Oct 09 15:43:25 +0000 2023;1711407021613048167;"agak kaget sih tiktok shop ditutup, padahal dari TikTok shop kita bisa ngehasilin duit, tolong dibina lebih dalam dan jangan sampe merugikan umkm yg memang sudah dr 0 membangun usahanya di platform social commerce #KamiUMKMdiTikTok @jokowi https://t.co/swOPJWwG01";0;0;3;4;in;3117097656;1711407021613048167;choco_styls;https://twitter.com/choco_styls/status/1711407021613048167
Mon Oct 09 15:41:46 +0000 2023;1711406608889282912;"Penjual ini mungkin mikir kalau TikTok Shop ditutup karena bikin pasar sana ancur, padahal TikTok Shop ditutup karena izinnya enggak jelas. Makanya dia minta yang lain yang menurut dia bikin pasar ancur ikutan ditutup. Si mikirin diri sendiri tuh. 😀🤌🏻";0;1;5;11;in;40630214;1711406608889282912;khairinadiar;https://twitter.com/khairinadiar/status/1711406608889282912
Mon Oct 09 15:41:07 +0000 2023;1711406445412123023;"@sptrrdhs Gabisa soalnya tiktok shop udah ditutup";0;0;0;0;in;1546049548916625409;1711382483667914961;nurulafrnt;https://twitter.com/nurulafrnt/status/1711406445412123023
Mon Oct 09 15:38:08 +0000 2023;1711405695944609843;"@aprldwi_ mungkin idiw harus ditanya nya "Lagi apa diw? Menurut idiw dalam kasus tiktok shop yang ditutup kita analisisnya pake pendekatan teori moral yang mana ya diw?"";0;1;0;0;in;1262814174645649409;1711402352216059983;_BukanLucifer;https://twitter.com/_BukanLucifer/status/1711405695944609843
Mon Oct 09 15:37:54 +0000 2023;1711405637014569308;"tiktok shop tutup shoope, lazada, tokopedia minta ditutuo jugaa? lamalama usia kalian yg ditutup";0;0;0;0;in;1266531372786581504;1711405637014569308;ind_slv;https://twitter.com/ind_slv/status/1711405637014569308
Mon Oct 09 15:26:32 +0000 2023;1711402776809619692;"Seperti TikTok Shop, Pedagang Tanah Abang Minta Shopee dan Lazada Juga Ditutup https://t.co/9hnksDW8iX";0;0;0;0;in;1446014623761637379;1711402776809619692;medianekita;https://twitter.com/medianekita/status/1711402776809619692
Mon Oct 09 14:56:22 +0000 2023;1711395183122952555;"@polarisshue untung tiktokshop ditutup";0;1;0;0;in;1550388603976810496;1711368102599106599;shortcakenotes;https://twitter.com/shortcakenotes/status/1711395183122952555
Mon Oct 09 14:35:47 +0000 2023;1711390004373848216;"@kegblgnunfaedh Tiktok shop emang nakal, pake algoritma yg undercut pedagang2 lokal.  Tp klo pemain marketplace lainnya yg udah playing fair dan ada healthy competition di ekosistem marketplace nya mo ditutup juga, bukan salah mereka lagi. Tp pedagang2 nya yg males nerima kemajuan 😗";0;0;0;0;in;852998856;1711305579959062757;ScorpioGuyyyy;https://twitter.com/ScorpioGuyyyy/status/1711390004373848216
Mon Oct 09 14:22:37 +0000 2023;1711386691477578183;"Sebelum TikTok Shop ditutup, di Shopee masih banyak produk dengan keterangan "dikirim dari Luar Negeri". Dan pasca tutup, produk-produk tersebut sebagian besar "dihapus". Apakah kebetulan atau sebenarnya memang model import barang satuan terjadi tidak hanya di TikTok saja ya?";0;0;0;0;in;103145849;1711386691477578183;kenangafit;https://twitter.com/kenangafit/status/1711386691477578183
Mon Oct 09 13:55:29 +0000 2023;1711379859295928723;"TikTok Shop ditutup. Yama Carlos bingung nasib barang dagangan. https://t.co/TqRCR8IaOK";0;0;0;0;in;137282671;1711379859295928723;detikhot;https://twitter.com/detikhot/status/1711379859295928723
Mon Oct 09 13:52:59 +0000 2023;1711379232734253246;"@AREAJULID Mereka pikir setelah tiktok shop ditutup mereka bakal laku keras. Tapi sama aja. Makanya minta semua ditutup sekalian.";0;0;0;0;in;869619329838456835;1711244856209891393;inaninunina;https://twitter.com/inaninunina/status/1711379232734253246
Mon Oct 09 13:50:35 +0000 2023;1711378626745106830;"Tiktok shop ditutup karna dia Social media berusaha masuk ranah E-commerce tanpa ada perijinan untuk e-commerce. Tp pemerintah menyampaikan ke warga emg agak kuarng tepat. Eh ya malah ngelunjak si warga, e-commerce punya ijin jualan anjir, semarukna rek ditutup bego 😂 https://t.co/Nw3EyjuhMR";0;0;0;0;in;1148947997339918336;1711378626745106830;ayamlalap;https://twitter.com/ayamlalap/status/1711378626745106830
Mon Oct 09 13:48:47 +0000 2023;1711378175320809493;"Tiktok shop udah ditutup, skrg mereka minta shopee dll juga ikut ditutup. Fix kita bakal balik ke zaman barter";0;0;0;0;in;1391806188652699648;1711378175320809493;xmanofstonex;https://twitter.com/xmanofstonex/status/1711378175320809493
Mon Oct 09 13:41:35 +0000 2023;1711376363394076923;"@AREAJULID Tiktok shop ditutup sih masih masuk akal karena awalnya emang tiktok buat socmed bukan e-commerce, tapi kalo shopee, lazada ga masuk akal udah jelas kan e-commerce. Kebayang misal kalo orang sumatera mau bakpia masa harus ke jogja dulu 🙃";0;0;0;0;in;1650557093995487232;1711244856209891393;_lf_n;https://twitter.com/_lf_n/status/1711376363394076923
Mon Oct 09 13:40:24 +0000 2023;1711376065371996169;"Sekarang lagi ramai perihal Tiktok shop yang akhirnya ditutup. Aku sebagai salah satu affiliator yang baru merasakan keuntungan digital market ini, jadi sedih. Kalo ditutup mau usaha apalagi saya :( ngelamar sana sini juga susah kepentok usia. Mungkin kalo bisa dibuat pemerataan-";0;4;0;1;in;147826465;1711376065371996169;Lailamazidah;https://twitter.com/Lailamazidah/status/1711376065371996169
